# timestamp x y z qx qy qz qw num_features num_matches num_inliers
1336386997.351083994 -1.87135 3.43548 0.35632 0.088109 0.0226605 -0.754077 0.650455 4697 1208 1033
1336386997.450320959 -1.8887 3.42312 0.35396 0.0832828 0.0231348 -0.754815 0.650218 4706 1201 1034
1336386997.549557924 -1.90477 3.43555 0.354756 0.0846118 0.0293479 -0.754651 0.649986 4674 1161 998
1336386997.648794889 -1.91584 3.43244 0.355661 0.0843029 0.0301778 -0.754617 0.650027 4666 1179 1001
1336386997.748031855 -1.9284 3.43773 0.355067 0.0858086 0.0330583 -0.75416 0.650221 4644 1146 977
1336386997.847270012 -1.94538 3.43779 0.354852 0.085561 0.0350564 -0.753496 0.650918 4625 1171 1002
1336386997.946506023 -1.95747 3.43814 0.355386 0.0869777 0.0358863 -0.752116 0.652279 4651 1166 989
1336386998.045742989 -1.97683 3.43064 0.352151 0.0849601 0.0358793 -0.750726 0.654144 4640 1121 985
1336386998.144980907 -1.99285 3.43168 0.353739 0.0861723 0.0368962 -0.748619 0.656341 4685 1178 998
1336386998.244217873 -2.00664 3.42805 0.351889 0.0869149 0.0356805 -0.746492 0.658728 4649 1156 1015
1336386998.343454838 -2.01972 3.42635 0.3509 0.0883174 0.0345197 -0.744024 0.66139 4567 1111 953
1336386998.442689896 -2.02826 3.42042 0.348559 0.0899914 0.0308 -0.741417 0.664269 4623 1126 961
1336386998.541928053 -2.04689 3.41924 0.348192 0.0894974 0.03068 -0.738653 0.667414 4568 1082 933
1336386998.641166925 -2.05905 3.4134 0.346247 0.0893383 0.02774 -0.736336 0.670118 4546 1134 980
1336386998.740401983 -2.0647 3.4075 0.348189 0.0902214 0.0230288 -0.734784 0.67188 4493 1105 962
1336386998.839638948 -2.07939 3.41374 0.347374 0.0907643 0.023649 -0.73341 0.673285 4529 1072 932
1336386998.938875914 -2.09214 3.41216 0.346529 0.0895836 0.0219978 -0.732731 0.674238 4430 1089 929
1336386999.038111925 -2.09723 3.4166 0.348906 0.0913489 0.0202896 -0.73198 0.674869 4374 1081 941
1336386999.137348890 -2.11157 3.41506 0.348556 0.0890517 0.0195087 -0.73173 0.67547 4313 1078 931
1336386999.236587048 -2.11661 3.41634 0.349813 0.0895407 0.0175829 -0.731312 0.675911 4295 1090 956
1336386999.335822821 -2.12746 3.42005 0.350954 0.0888818 0.0180376 -0.731059 0.67626 4331 1068 921
1336386999.435060978 -2.1391 3.41845 0.350646 0.0866164 0.0177046 -0.731083 0.676537 4269 1053 915
1336386999.534296989 -2.14756 3.42063 0.352409 0.0859057 0.0178981 -0.731183 0.676515 4199 1071 933
